attack_scenario,scenario_name,attack_percentage,attack_type,n_attackers,n_benign,TP,FP,FN,TN,precision,recall,f1,mcc,auroc,opt_threshold,rf_prec,rf_recall,rf_f1,uc_known,uc_fn,novel_detected,nasea,tdet_est_ms
1,01_TTW_S1_Malicious_Vehicle,0,0,0,10,0,2,0,8,0,0,0,nan,0.4,2.24361,0,0,0,0.09617,0,0,0,800
1,01_TTW_S1_Malicious_Vehicle,10,101,1,9,1,1,0,8,0.5,1,0.666667,0.666667,0.888889,1.401663,0,0,0,0.09617,0,0,0,800
1,01_TTW_S1_Malicious_Vehicle,20,101,2,8,2,2,0,6,0.5,1,0.666667,0.612372,0.75,3.153741,0,0,0,0.09617,0,0,0,800
1,01_TTW_S1_Malicious_Vehicle,30,101,3,7,2,2,1,5,0.5,0.666667,0.571429,0.356348,0.595238,3.604275,0.166667,0.333333,0.222222,0.09617,0,0,0,800
1,01_TTW_S1_Malicious_Vehicle,40,101,4,6,3,2,1,4,0.6,0.75,0.666667,0.408248,0.583333,4.204988,0.2,0.25,0.222222,0.09617,0,0,0,800
1,01_TTW_S1_Malicious_Vehicle,50,101,5,5,4,5,1,0,0.444444,0.8,0.571429,-0.333333,0.16,2.262802,0.333333,0.2,0.25,0.09617,0,0,0,800
1,01_TTW_S1_Malicious_Vehicle,60,101,6,4,5,4,1,0,0.555556,0.833333,0.666667,-0.272166,0.291667,0.381197,0.833333,0.833333,0.833333,0.09617,0,0,0,800
1,01_TTW_S1_Malicious_Vehicle,70,101,7,3,7,0,0,3,1,1,1,1,1,0.006556,1,1,1,0.09617,0,0,0,800
1,01_TTW_S1_Malicious_Vehicle,80,101,8,2,8,0,0,2,1,1,1,1,1,0,1,0.875,0.933333,0.09617,0,0,0,800
1,01_TTW_S1_Malicious_Vehicle,90,101,9,1,9,0,0,1,1,1,1,1,1,0,1,0.888889,0.941176,0.09617,0,0,0,800
1,01_TTW_S1_Malicious_Vehicle,100,101,10,0,6,0,4,0,1,0.6,0.75,nan,0.8,0,1,1,1,0.09617,1,1,0.6,800
2,02_TTW_S2_Malicious_RSU,0,0,0,10,0,2,0,8,0,0,0,nan,0.4,2.244674,0,0,0,0.09617,0,0,0,800
2,02_TTW_S2_Malicious_RSU,10,102,1,9,1,1,0,8,0.5,1,0.666667,0.666667,0.888889,1.40048,0,0,0,0.09617,0,0,0,800
2,02_TTW_S2_Malicious_RSU,20,102,2,8,2,0,0,8,1,1,1,1,1,0,0.2,1,0.333333,0.09617,1,1,1,800
2,02_TTW_S2_Malicious_RSU,30,102,3,7,2,0,1,7,1,0.666667,0.8,0.763763,0.833333,0,0.3,1,0.461538,0.09617,1,1,0.666667,800
2,02_TTW_S2_Malicious_RSU,40,102,4,6,2,0,2,6,1,0.5,0.666667,0.612372,0.75,0,0.4,1,0.571429,0.09617,1,1,0.5,800
2,02_TTW_S2_Malicious_RSU,50,102,5,5,2,0,3,5,1,0.4,0.571429,0.5,0.7,0,0.5,1,0.666667,0.09617,1,1,0.4,800
2,02_TTW_S2_Malicious_RSU,60,102,6,4,2,0,4,4,1,0.333333,0.5,0.408248,0.666667,0,0.6,1,0.75,0.09617,1,1,0.333333,800
2,02_TTW_S2_Malicious_RSU,70,102,7,3,2,0,5,3,1,0.285714,0.444444,0.327327,0.642857,0,0.7,1,0.823529,0.09617,1,1,0.285714,800
2,02_TTW_S2_Malicious_RSU,80,102,8,2,2,0,6,2,1,0.25,0.4,0.25,0.625,0,0.8,1,0.888889,0.09617,1,1,0.25,800
2,02_TTW_S2_Malicious_RSU,90,102,9,1,2,0,7,1,1,0.222222,0.363636,0.166667,0.611111,0,0.9,1,0.947368,0.09617,1,1,0.222222,800
2,02_TTW_S2_Malicious_RSU,100,102,10,0,2,0,8,0,1,0.2,0.333333,nan,0.6,0,1,1,1,0.09617,1,1,0.2,800
3,03_TTW_S3_Malicious_Controller_No_RSU,0,0,0,10,0,2,0,8,0,0,0,nan,0.4,2.244674,0,0,0,0.09617,0,0,0,800
3,03_TTW_S3_Malicious_Controller_No_RSU,10,103,1,9,1,1,0,8,0.5,1,0.666667,0.666667,0.888889,1.40048,0,0,0,0.09617,0,0,0,800
3,03_TTW_S3_Malicious_Controller_No_RSU,20,103,2,8,2,0,0,8,1,1,1,1,1,0,0.2,1,0.333333,0.09617,1,1,1,800
3,03_TTW_S3_Malicious_Controller_No_RSU,30,103,3,7,2,0,1,7,1,0.666667,0.8,0.763763,0.833333,0,0.3,1,0.461538,0.09617,1,1,0.666667,800
3,03_TTW_S3_Malicious_Controller_No_RSU,40,103,4,6,2,0,2,6,1,0.5,0.666667,0.612372,0.75,0,0.4,1,0.571429,0.09617,1,1,0.5,800
3,03_TTW_S3_Malicious_Controller_No_RSU,50,103,5,5,2,0,3,5,1,0.4,0.571429,0.5,0.7,0,0.5,1,0.666667,0.09617,1,1,0.4,800
3,03_TTW_S3_Malicious_Controller_No_RSU,60,103,6,4,2,0,4,4,1,0.333333,0.5,0.408248,0.666667,0,0.6,1,0.75,0.09617,1,1,0.333333,800
3,03_TTW_S3_Malicious_Controller_No_RSU,70,103,7,3,2,0,5,3,1,0.285714,0.444444,0.327327,0.642857,0,0.7,1,0.823529,0.09617,1,1,0.285714,800
3,03_TTW_S3_Malicious_Controller_No_RSU,80,103,8,2,2,0,6,2,1,0.25,0.4,0.25,0.625,0,0.8,1,0.888889,0.09617,1,1,0.25,800
3,03_TTW_S3_Malicious_Controller_No_RSU,90,103,9,1,2,0,7,1,1,0.222222,0.363636,0.166667,0.611111,0,0.9,1,0.947368,0.09617,1,1,0.222222,800
3,03_TTW_S3_Malicious_Controller_No_RSU,100,103,10,0,2,0,8,0,1,0.2,0.333333,nan,0.6,0,1,1,1,0.09617,1,1,0.2,800
