Solution at controller cleared
[SUMO] Peak-activity alignment: trace_t0=288s -> 238 vehicles active in the 300s sim window (was ~few at raw t=0)
[SUMO] Trace time offset: 288s -> waypoints shifted to NS-3 t=0
[SUMO] Loaded 304 positions, scheduled 162743 exact position+velocity events
[NetAnim] Writing animation to: /home/sdvn_echo_topology/ns-allinone-3.35/ns-3.35/scratch/SDVN project /SDVN-Temporal-Attacks/outputs/XML/02_TTW_S2_Malicious_RSU.xml
[TTW-S2] RSU slot 0: V130 <-> V189  (real break at t=19.1s)
[TTW-S2] RSU slot 0: V66 <-> V156  (real break at t=20.3s)
[TTW-S2] RSU slot 0: V2 <-> V186  (real break at t=88.1s)
[TTW-S2] RSU slot 0: V84 <-> V188  (real break at t=89.5s)
[TTW-S2] RSU slot 0: V158 <-> V155  (real break at t=142.5s)
[TTW-S2] RSU slot 0: V46 <-> V187  (real break at t=148.3s)
[TTW-S2] RSU slot 0: V55 <-> V82  (real break at t=58.5s)
[TTW-S2] RSU slot 0: V168 <-> V171  (real break at t=101.9s)
[TTW-S2] RSU slot 0: V137 <-> V123  (real break at t=53.1s)
[TTW-S2] RSU slot 0: V143 <-> V14  (real break at t=63.7s)
[TTW-S2] RSU slot 0: V56 <-> V96  (real break at t=60.5s)
[TTW-S2] RSU slot 0: V80 <-> V157  (real break at t=65.9s)
[TTW-S2] RSU slot 0: V143 <-> V70  (real break at t=82.3s)
[TTW-S2] RSU slot 1: V122 <-> V111  (real break at t=13.1s)
[TTW-S2] RSU slot 1: V170 <-> V101  (real break at t=29.1s)
[TTW-S2] RSU slot 1: V66 <-> V125  (real break at t=21.9s)
[TTW-S2] RSU slot 1: V75 <-> V182  (real break at t=132.5s)
[TTW-S2] RSU slot 1: V140 <-> V120  (real break at t=59.7s)
[TTW-S2] RSU slot 1: V128 <-> V144  (real break at t=62.5s)
[TTW-S2] RSU slot 1: V48 <-> V16  (real break at t=44.1s)
[TTW-S2] RSU slot 1: V190 <-> V150  (real break at t=57.3s)
[TTW-S2] RSU slot 1: V123 <-> V137  (real break at t=53.1s)
[TTW-S2] RSU slot 1: V77 <-> V159  (real break at t=88.5s)
[TTW-S2] RSU slot 1: V157 <-> V80  (real break at t=65.9s)
[TTW-S2] RSU slot 1: V70 <-> V143  (real break at t=82.3s)
[TTW-S2] RSU slot 2: V30 <-> V119  (real break at t=17.1s)
[TTW-S2] RSU slot 2: V58 <-> V97  (real break at t=28.1s)
[TTW-S2] RSU slot 2: V88 <-> V142  (real break at t=20.5s)
[TTW-S2] RSU slot 2: V69 <-> V164  (real break at t=53.5s)
[TTW-S2] RSU slot 2: V128 <-> V148  (real break at t=33.5s)
[TTW-S2] RSU slot 2: V109 <-> V87  (real break at t=54.1s)
[TTW-S2] RSU slot 2: V158 <-> V117  (real break at t=49.7s)
[TTW-S2] RSU slot 2: V150 <-> V190  (real break at t=57.3s)
[TTW-S2] RSU slot 2: V55 <-> V79  (real break at t=297s)
[TTW-S2] RSU slot 2: V146 <-> V109  (real break at t=60.3s)
[TTW-S2] RSU slot 2: V161 <-> V75  (real break at t=88.3s)
[TTW-S2] RSU slot 2: V84 <-> V107  (real break at t=78.3s)
[TTW-S2] RSU slot 3: V99 <-> V121  (real break at t=15.1s)
[TTW-S2] RSU slot 3: V25 <-> V169  (real break at t=56.3s)
[TTW-S2] RSU slot 3: V57 <-> V78  (real break at t=36.5s)
[TTW-S2] RSU slot 3: V162 <-> V72  (real break at t=51.9s)
[TTW-S2] RSU slot 3: V12 <-> V115  (real break at t=36.1s)
