Solution at controller cleared
[SUMO] Peak-activity alignment: trace_t0=58s -> 208 vehicles active in the 60s sim window (was ~few at raw t=0)
[SUMO] Trace time offset: 58s -> waypoints shifted to NS-3 t=0
[SUMO] Index remap active: 208 trace vehicle IDs mapped to NS-3 indices 0..207
[SUMO] Loaded 211 positions, scheduled 281855 exact position+velocity events
[NetAnim] Writing animation to: /home/sdvn_echo_topology/ns-allinone-3.35/ns-3.35/scratch/SDVN project /SDVN-Temporal-Attacks/outputs/XML/02_TTW_S2_Malicious_RSU.xml
[TTW-S2] RSU slot 0: V172 <-> V128  (real break at t=22.1s)
[TTW-S2] RSU slot 0: V130 <-> V173  (real break at t=25.5s)
[TTW-S2] RSU slot 0: V114 <-> V103  (real break at t=33.7s)
[TTW-S2] RSU slot 0: V27 <-> V134  (real break at t=37.5s)
[TTW-S2] RSU slot 0: V51 <-> V96  (real break at t=44.7s)
[TTW-S2] RSU slot 0: V115 <-> V187  (real break at t=49.5s)
[TTW-S2] RSU slot 0: V50 <-> V23  (real break at t=52.7s)
[TTW-S2] RSU slot 0: V181 <-> V61  (real break at t=56.9s)
[TTW-S2] RSU slot 0: V188 <-> V161  (real break at t=57s)
[TTW-S2] RSU slot 1: V53 <-> V176  (real break at t=21.9s)
[TTW-S2] RSU slot 1: V69 <-> V33  (real break at t=27.3s)
[TTW-S2] RSU slot 1: V165 <-> V104  (real break at t=36.3s)
[TTW-S2] RSU slot 1: V36 <-> V6  (real break at t=37.5s)
[TTW-S2] RSU slot 1: V64 <-> V92  (real break at t=53.3s)
[TTW-S2] RSU slot 1: V51 <-> V196  (real break at t=47.5s)
[TTW-S2] RSU slot 1: V23 <-> V50  (real break at t=52.7s)
[TTW-S2] RSU slot 1: V61 <-> V181  (real break at t=56.9s)
[TTW-S2] RSU slot 1: V161 <-> V188  (real break at t=57s)
[TTW-S2] RSU slot 2: V35 <-> V127  (real break at t=20.5s)
[TTW-S2] RSU slot 2: V40 <-> V71  (real break at t=28.7s)
[TTW-S2] RSU slot 2: V63 <-> V183  (real break at t=33.9s)
[TTW-S2] RSU slot 2: V49 <-> V32  (real break at t=38.7s)
[TTW-S2] RSU slot 2: V96 <-> V99  (real break at t=41.9s)
[TTW-S2] RSU slot 2: V196 <-> V51  (real break at t=47.5s)
[TTW-S2] RSU slot 2: V171 <-> V75  (real break at t=57s)
[TTW-S2] RSU slot 2: V114 <-> V55  (real break at t=57s)
[TTW-S2] RSU slot 3: V5 <-> V141  (real break at t=26.1s)
[TTW-S2] RSU slot 3: V56 <-> V144  (real break at t=27.9s)
[TTW-S2] RSU slot 3: V109 <-> V29  (real break at t=44.3s)
[TTW-S2] RSU slot 3: V41 <-> V186  (real break at t=38.3s)
[TTW-S2] RSU slot 3: V86 <-> V22  (real break at t=42.7s)
[TTW-S2] RSU slot 3: V2 <-> V74  (real break at t=46.7s)
[TTW-S2] RSU slot 3: V175 <-> V185  (real break at t=57s)
[TTW-S2] RSU slot 3: V55 <-> V114  (real break at t=57s)
[TTW-S2] RSU slot 4: V74 <-> V35  (real break at t=21.1s)
[TTW-S2] RSU slot 4: V17 <-> V24  (real break at t=28.5s)
[TTW-S2] RSU slot 4: V174 <-> V153  (real break at t=31.3s)
[TTW-S2] RSU slot 4: V96 <-> V73  (real break at t=38.1s)
[TTW-S2] RSU slot 4: V150 <-> V136  (real break at t=40.9s)
[TTW-S2] RSU slot 4: V57 <-> V36  (real break at t=52.1s)
[TTW-S2] RSU slot 4: V185 <-> V175  (real break at t=57s)
[TTW-S2] RSU slot 4: V189 <-> V121  (real break at t=57s)
[TTW-S2] RSU slot 5: V137 <-> V156  (real break at t=20.5s)
[TTW-S2] RSU slot 5: V18 <-> V31  (real break at t=29.3s)
[TTW-S2] RSU slot 5: V69 <-> V151  (real break at t=30.7s)
[TTW-S2] RSU slot 5: V30 <-> V102  (real break at t=35.5s)
[TTW-S2] RSU slot 5: V83 <-> V198  (real break at t=44.5s)
[TTW-S2] RSU slot 5: V188 <-> V9  (real break at t=50.1s)
[TTW-S2] RSU slot 5: V86 <-> V150  (real break at t=57s)
[TTW-S2] RSU slot 5: V88 <-> V97  (real break at t=57s)
[TTW-S2] RSU slot 6: V62 <-> V77  (real break at t=21.3s)
[TTW-S2] RSU slot 6: V32 <-> V44  (real break at t=28.9s)
[TTW-S2] RSU slot 6: V162 <-> V119  (real break at t=38.7s)
[TTW-S2] RSU slot 6: V175 <-> V5  (real break at t=38.5s)
[TTW-S2] RSU slot 6: V88 <-> V84  (real break at t=41.7s)
[TTW-S2] RSU slot 6: V109 <-> V53  (real break at t=48.9s)
[TTW-S2] RSU slot 6: V75 <-> V171  (real break at t=57s)
[TTW-S2] RSU slot 6: V54 <-> V10  (real break at t=57s)
[TTW-S2] RSU slot 7: V169 <-> V190  (real break at t=25.1s)
[TTW-S2] RSU slot 7: V134 <-> V17  (real break at t=31.3s)
[TTW-S2] RSU slot 7: V50 <-> V16  (real break at t=43.5s)
[TTW-S2] RSU slot 7: V15 <-> V172  (real break at t=35.9s)
[TTW-S2] RSU slot 7: V123 <-> V41  (real break at t=46.3s)
[TTW-S2] RSU slot 7: V74 <-> V2  (real break at t=46.7s)
[TTW-S2] RSU slot 7: V150 <-> V86  (real break at t=57s)
[TTW-S2] RSU slot 7: V121 <-> V189  (real break at t=57s)
[TTW-S2] RSU slot 8: V103 <-> V85  (real break at t=20.7s)
[TTW-S2] RSU slot 8: V8 <-> V66  (real break at t=27.1s)
[TTW-S2] RSU slot 8: V18 <-> V43  (real break at t=39.5s)
[TTW-S2] RSU slot 8: V159 <-> V118  (real break at t=38.5s)
[TTW-S2] RSU slot 8: V145 <-> V108  (real break at t=46.3s)
[TTW-S2] RSU slot 8: V86 <-> V3  (real break at t=46.1s)
[TTW-S2] RSU slot 8: V18 <-> V64  (real break at t=57s)
[TTW-S2] RSU slot 8: V97 <-> V88  (real break at t=57s)
[TTW-S2] RSU slot 9: V25 <-> V60  (real break at t=26.1s)
[TTW-S2] RSU slot 9: V3 <-> V193  (real break at t=28.7s)
[TTW-S2] RSU slot 9: V3 <-> V160  (real break at t=36.9s)
[TTW-S2] RSU slot 9: V145 <-> V130  (real break at t=40.3s)
[TTW-S2] RSU slot 9: V22 <-> V68  (real break at t=41.9s)
[TTW-S2] RSU slot 9: V147 <-> V159  (real break at t=49.3s)
[TTW-S2] RSU slot 9: V64 <-> V18  (real break at t=57s)
[TTW-S2] RSU slot 9: V10 <-> V54  (real break at t=57s)
[TTW-S2] RSU slot 10: V152 <-> V14  (real break at t=20.5s)
[TTW-S2] RSU slot 10: V149 <-> V11  (real break at t=29.3s)
[TTW-S2] RSU slot 10: V119 <-> V162  (real break at t=38.7s)
[TTW-S2] RSU slot 10: V139 <-> V93  (real break at t=49.9s)
[TTW-S2] RSU slot 10: V99 <-> V145  (real break at t=42.1s)
[TTW-S2] RSU slot 10: V159 <-> V147  (real break at t=49.3s)
[TTW-S2] RSU slot 11: V194 <-> V158  (real break at t=22.3s)
[TTW-S2] RSU slot 11: V196 <-> V19  (real break at t=26.5s)
[TTW-S2] RSU slot 11: V39 <-> V65  (real break at t=32.7s)
[TTW-S2] RSU slot 11: V130 <-> V76  (real break at t=38.3s)
[TTW-S2] RSU slot 11: V74 <-> V113  (real break at t=40.7s)
[TTW-S2] RSU slot 11: V157 <-> V46  (real break at t=57s)
[TTW-S2] RSU slot 12: V77 <-> V62  (real break at t=21.3s)
[TTW-S2] RSU slot 12: V27 <-> V37  (real break at t=29.5s)
[TTW-S2] RSU slot 12: V96 <-> V21  (real break at t=31.5s)
[TTW-S2] RSU slot 12: V192 <-> V79  (real break at t=37.5s)
[TTW-S2] RSU slot 12: V53 <-> V163  (real break at t=48.3s)
[TTW-S2] RSU slot 12: V185 <-> V174  (real break at t=57s)
[TTW-S2] RSU slot 13: V100 <-> V91  (real break at t=24.7s)
[TTW-S2] RSU slot 13: V104 <-> V1  (real break at t=32.9s)
[TTW-S2] RSU slot 13: V79 <-> V122  (real break at t=33.7s)
[TTW-S2] RSU slot 13: V185 <-> V15  (real break at t=38.1s)
[TTW-S2] RSU slot 13: V108 <-> V154  (real break at t=46.3s)
[TTW-S2] RSU slot 13: V46 <-> V157  (real break at t=57s)
[TTW-S2] RSU slot 14: V101 <-> V125  (real break at t=25.9s)
[TTW-S2] RSU slot 14: V49 <-> V7  (real break at t=30.9s)
[TTW-S2] RSU slot 14: V41 <-> V28  (real break at t=32.5s)
[TTW-S2] RSU slot 14: V5 <-> V25  (real break at t=35.5s)
[TTW-S2] RSU slot 14: V3 <-> V30  (real break at t=40.7s)
[TTW-S2] RSU slot 14: V124 <-> V83  (real break at t=57s)
[TTW-S2] RSU slot 15: V119 <-> V72  (real break at t=27.7s)
[TTW-S2] RSU slot 15: V155 <-> V4  (real break at t=28.7s)
[TTW-S2] RSU slot 15: V198 <-> V137  (real break at t=39.3s)
[TTW-S2] RSU slot 15: V61 <-> V34  (real break at t=37.1s)
[TTW-S2] RSU slot 15: V120 <-> V165  (real break at t=55s)
[TTW-S2] RSU slot 15: V175 <-> V139  (real break at t=57s)
[TTW-S2] RSU slot 16: V28 <-> V89  (real break at t=20.5s)
[TTW-S2] RSU slot 16: V64 <-> V101  (real break at t=36.1s)
[TTW-S2] RSU slot 16: V159 <-> V90  (real break at t=35.9s)
[TTW-S2] RSU slot 16: V115 <-> V182  (real break at t=45.3s)
[TTW-S2] RSU slot 16: V165 <-> V120  (real break at t=55s)
[TTW-S2] RSU slot 16: V135 <-> V115  (real break at t=57s)
[TTW-S2] RSU slot 17: V22 <-> V195  (real break at t=25.5s)
[TTW-S2] RSU slot 17: V159 <-> V8  (real break at t=35.3s)
[TTW-S2] RSU slot 17: V183 <-> V63  (real break at t=33.9s)
[TTW-S2] RSU slot 17: V182 <-> V82  (real break at t=45.1s)
[TTW-S2] RSU slot 17: V58 <-> V13  (real break at t=55s)
[TTW-S2] RSU slot 17: V78 <-> V58  (real break at t=57s)
[TTW-S2] RSU slot 18: V165 <-> V194  (real break at t=32.7s)
[TTW-S2] RSU slot 18: V29 <-> V0  (real break at t=40s)
[TTW-S2] RSU slot 18: V151 <-> V69  (real break at t=30.7s)
[TTW-S2] RSU slot 18: V161 <-> V39  (real break at t=35.9s)
[TTW-S2] RSU slot 18: V13 <-> V148  (real break at t=55s)
[TTW-S2] RSU slot 18: V58 <-> V78  (real break at t=57s)
[TTW-S2] RSU slot 19: V54 <-> V12  (real break at t=28.3s)
[TTW-S2] RSU slot 19: V163 <-> V167  (real break at t=40s)
[TTW-S2] RSU slot 19: V147 <-> V20  (real break at t=35.9s)
[TTW-S2] RSU slot 19: V86 <-> V95  (real break at t=37.3s)
[TTW-S2] RSU slot 19: V114 <-> V94  (real break at t=55s)
[TTW-S2] RSU slot 20: V163 <-> V199  (real break at t=21.7s)
[TTW-S2] RSU slot 20: V170 <-> V110  (real break at t=40s)
[TTW-S2] RSU slot 20: V139 <-> V149  (real break at t=34.3s)
[TTW-S2] RSU slot 20: V134 <-> V27  (real break at t=37.5s)
[TTW-S2] RSU slot 20: V94 <-> V40  (real break at t=55s)
[TTW-S2] RSU slot 21: V99 <-> V138  (real break at t=23.7s)
[TTW-S2] RSU slot 21: V67 <-> V80  (real break at t=40s)
[TTW-S2] RSU slot 21: V78 <-> V48  (real break at t=45s)
[TTW-S2] RSU slot 21: V56 <-> V116  (real break at t=50s)
[TTW-S2] RSU slot 21: V115 <-> V117  (real break at t=55s)
[TTW-S2] RSU slot 22: V66 <-> V47  (real break at t=22.7s)
[TTW-S2] RSU slot 22: V80 <-> V67  (real break at t=40s)
[TTW-S2] RSU slot 22: V97 <-> V178  (real break at t=45s)
[TTW-S2] RSU slot 22: V116 <-> V56  (real break at t=50s)
[TTW-S2] RSU slot 22: V111 <-> V52  (real break at t=55s)
[TTW-S2] RSU slot 23: V111 <-> V133  (real break at t=35s)
[TTW-S2] RSU slot 23: V13 <-> V107  (real break at t=40s)
[TTW-S2] RSU slot 23: V52 <-> V98  (real break at t=45s)
[TTW-S2] RSU slot 23: V23 <-> V81  (real break at t=50s)
[TTW-S2] RSU slot 24: V198 <-> V180  (real break at t=35s)
[TTW-S2] RSU slot 24: V50 <-> V59  (real break at t=40s)
[TTW-S2] RSU slot 24: V182 <-> V166  (real break at t=45s)
[TTW-S2] RSU slot 24: V114 <-> V132  (real break at t=50s)
[TTW-S2] RSU slot 25: V142 <-> V146  (real break at t=35s)
[TTW-S2] RSU slot 25: V143 <-> V152  (real break at t=40s)
[TTW-S2] RSU slot 25: V111 <-> V70  (real break at t=45s)
[TTW-S2] RSU slot 25: V58 <-> V87  (real break at t=50s)
[TTW-S2] RSU slot 26: V157 <-> V100  (real break at t=35s)
[TTW-S2] RSU slot 26: V110 <-> V170  (real break at t=40s)
[TTW-S2] RSU slot 26: V132 <-> V105  (real break at t=45s)
[TTW-S2] RSU slot 27: V154 <-> V112  (real break at t=35s)
[TTW-S2] RSU slot 27: V167 <-> V38  (real break at t=40s)
[TTW-S2] RSU slot 27: V92 <-> V131  (real break at t=45s)
[TTW-S2] RSU slot 28: V78 <-> V191  (real break at t=35s)
[TTW-S2] RSU slot 28: V123 <-> V143  (real break at t=40s)
[TTW-S2] RSU slot 28: V106 <-> V42  (real break at t=45s)
[TTW-S2] RSU slot 29: V131 <-> V155  (real break at t=45s)

========================================
SCENARIO 02 - TTW-S2 ATTACK CONFIGURED
Malicious RSUs : 38 / 64
Victim pairs   (178):
  RSU_205  ->  V177 <-> V133  (real break at t=22.1s)
  RSU_205  ->  V135 <-> V178  (real break at t=25.5s)
  RSU_205  ->  V119 <-> V108  (real break at t=33.7s)
  RSU_205  ->  V32 <-> V139  (real break at t=37.5s)
  RSU_205  ->  V56 <-> V101  (real break at t=44.7s)
  RSU_205  ->  V120 <-> V192  (real break at t=49.5s)
  RSU_205  ->  V55 <-> V28  (real break at t=52.7s)
  RSU_205  ->  V186 <-> V66  (real break at t=56.9s)
  RSU_205  ->  V193 <-> V166  (real break at t=57s)
  RSU_206  ->  V58 <-> V181  (real break at t=21.9s)
  RSU_206  ->  V74 <-> V38  (real break at t=27.3s)
  RSU_206  ->  V170 <-> V109  (real break at t=36.3s)
  RSU_206  ->  V41 <-> V11  (real break at t=37.5s)
  RSU_206  ->  V69 <-> V97  (real break at t=53.3s)
  RSU_206  ->  V56 <-> V201  (real break at t=47.5s)
  RSU_206  ->  V28 <-> V55  (real break at t=52.7s)
  RSU_206  ->  V66 <-> V186  (real break at t=56.9s)
  RSU_206  ->  V166 <-> V193  (real break at t=57s)
  RSU_207  ->  V40 <-> V132  (real break at t=20.5s)
  RSU_207  ->  V45 <-> V76  (real break at t=28.7s)
  RSU_207  ->  V68 <-> V188  (real break at t=33.9s)
  RSU_207  ->  V54 <-> V37  (real break at t=38.7s)
  RSU_207  ->  V101 <-> V104  (real break at t=41.9s)
  RSU_207  ->  V201 <-> V56  (real break at t=47.5s)
  RSU_207  ->  V176 <-> V80  (real break at t=57s)
  RSU_207  ->  V119 <-> V60  (real break at t=57s)
  RSU_208  ->  V10 <-> V146  (real break at t=26.1s)
  RSU_208  ->  V61 <-> V149  (real break at t=27.9s)
  RSU_208  ->  V114 <-> V34  (real break at t=44.3s)
  RSU_208  ->  V46 <-> V191  (real break at t=38.3s)
  RSU_208  ->  V91 <-> V27  (real break at t=42.7s)
  RSU_208  ->  V7 <-> V79  (real break at t=46.7s)
  RSU_208  ->  V180 <-> V190  (real break at t=57s)
  RSU_208  ->  V60 <-> V119  (real break at t=57s)
  RSU_209  ->  V79 <-> V40  (real break at t=21.1s)
  RSU_209  ->  V22 <-> V29  (real break at t=28.5s)
  RSU_209  ->  V179 <-> V158  (real break at t=31.3s)
  RSU_209  ->  V101 <-> V78  (real break at t=38.1s)
  RSU_209  ->  V155 <-> V141  (real break at t=40.9s)
  RSU_209  ->  V62 <-> V41  (real break at t=52.1s)
  RSU_209  ->  V190 <-> V180  (real break at t=57s)
  RSU_209  ->  V194 <-> V126  (real break at t=57s)
  RSU_210  ->  V142 <-> V161  (real break at t=20.5s)
  RSU_210  ->  V23 <-> V36  (real break at t=29.3s)
