operation,count,mean_us,std_us,min_us,max_us
Dilithium_Sign_BSHH,42,99.3901,46.0655,52.7510,258.1530
Dilithium_Sign_ME,1588,84.3512,40.9731,46.7240,514.5720
Dilithium_Sign_TTW,115,96.5338,49.5680,47.4100,264.0620
Dilithium_Verify_BSHH,42,44.1557,18.3254,37.4400,136.0630
Dilithium_Verify_BSHH_Det,339,46.7938,23.2019,37.5530,255.0960
Dilithium_Verify_ME,1588,38.9665,4.9166,37.1470,168.4810
Dilithium_Verify_ME_Det,1579,38.7938,4.6420,37.0200,153.5960
Dilithium_Verify_ME_Det2,1579,38.7152,4.6196,36.9870,158.1740
Dilithium_Verify_TTW,115,42.6541,9.4050,37.4220,81.0350
Dilithium_Verify_TTW_Det,85,44.2142,6.8974,39.2550,94.6950
Freshness_Check,2024,0.0142,0.0054,0.0090,0.1890
HMAC_Sign_BSHH,42,4.0353,3.2848,1.0360,16.5250
HMAC_Sign_ME,1588,1.2785,0.2887,0.9600,6.9540
HMAC_Sign_TTW,115,3.2525,2.0602,0.9960,10.0280
HMAC_Verify_BSHH,42,1.1679,0.6506,0.7550,4.2060
HMAC_Verify_ME,1588,1.3490,0.4453,0.7080,6.4560
HMAC_Verify_TTW,115,1.7847,0.6239,0.7200,4.3050
Haversine,3590,0.0156,0.0115,0.0090,0.1940
KEM_Decap,1,16588.8020,0.0000,16588.8020,16588.8020
KEM_Encap,1,10998.0610,0.0000,10998.0610,10998.0610
KEM_Handshake,29,221.9243,38.7389,178.7340,323.2150
KEM_Handshake_SingleKEM,29,221.9243,38.7389,178.7340,323.2150
KEM_KeyGen,1,5647.5620,0.0000,5647.5620,5647.5620
KEM_Lookup,1,0.0160,0.0000,0.0160,0.0160
KEM_Register,1,33859.3070,0.0000,33859.3070,33859.3070
LKH_GetSessionKey,2028,0.1523,0.0718,0.0390,2.0730
LKH_IsRevoked,52,0.3103,0.2193,0.0570,1.0940
LKH_Revoke_n16,2028,0.4667,0.5739,0.1210,15.5070
LocBind_Quorum,1579,167.5305,20.7988,158.4840,638.0480
LocBind_Verify,1579,169.1897,42.1540,127.2420,520.8160
Thresh_Sign_Det,2003,86.0381,47.2990,46.9840,772.6980
Thresh_Verify_Det,2003,39.6979,8.8503,37.2430,197.6570
