sim_time_s,sim_time_end_s,latency_us,attack_scenario,operation,node_id,event_type,is_attack_event
0.0000000,0.0338593,33859.3070,13,KEM_Register,0,Session_Setup,0
0.0000000,0.0056476,5647.5620,13,KEM_KeyGen,0,Session_Setup,0
0.0000000,0.0000000,0.0160,13,KEM_Lookup,0,Session_Setup,0
0.0000000,0.0109981,10998.0610,13,KEM_Encap,0,Session_Setup,0
0.0000000,0.0165888,16588.8020,13,KEM_Decap,0,Session_Setup,0
0.1000000,0.1002922,292.2500,13,KEM_Handshake_SingleKEM,1,Session_Setup,0
0.1000000,0.1002922,292.2500,13,KEM_Handshake,1,Session_Setup,0
0.2000000,0.2002393,239.3140,13,KEM_Handshake_SingleKEM,2,Session_Setup,0
0.2000000,0.2002393,239.3140,13,KEM_Handshake,2,Session_Setup,0
0.3000000,0.3001798,179.7740,13,KEM_Handshake_SingleKEM,3,Session_Setup,0
0.3000000,0.3001798,179.7740,13,KEM_Handshake,3,Session_Setup,0
0.4000000,0.4001787,178.7340,13,KEM_Handshake_SingleKEM,4,Session_Setup,0
0.4000000,0.4001787,178.7340,13,KEM_Handshake,4,Session_Setup,0
0.5000000,0.5002733,273.3390,13,KEM_Handshake_SingleKEM,5,Session_Setup,0
0.5000000,0.5002733,273.3390,13,KEM_Handshake,5,Session_Setup,0
0.6000000,0.6002168,216.8120,13,KEM_Handshake_SingleKEM,6,Session_Setup,0
0.6000000,0.6002168,216.8120,13,KEM_Handshake,6,Session_Setup,0
0.7000000,0.7001939,193.8650,13,KEM_Handshake_SingleKEM,7,Session_Setup,0
0.7000000,0.7001939,193.8650,13,KEM_Handshake,7,Session_Setup,0
0.8000000,0.8001875,187.4960,13,KEM_Handshake_SingleKEM,8,Session_Setup,0
0.8000000,0.8001875,187.4960,13,KEM_Handshake,8,Session_Setup,0
0.9000000,0.9001790,178.9870,13,KEM_Handshake_SingleKEM,9,Session_Setup,0
0.9000000,0.9001790,178.9870,13,KEM_Handshake,9,Session_Setup,0
1.0000000,1.0002065,206.5070,13,KEM_Handshake_SingleKEM,10,Session_Setup,0
1.0000000,1.0002065,206.5070,13,KEM_Handshake,10,Session_Setup,0
1.1000000,1.1002239,223.8760,13,KEM_Handshake_SingleKEM,11,Session_Setup,0
1.1000000,1.1002239,223.8760,13,KEM_Handshake,11,Session_Setup,0
1.2000000,1.2002234,223.4420,13,KEM_Handshake_SingleKEM,12,Session_Setup,0
1.2000000,1.2002234,223.4420,13,KEM_Handshake,12,Session_Setup,0
1.3000000,1.3002100,209.9540,13,KEM_Handshake_SingleKEM,13,Session_Setup,0
1.3000000,1.3002100,209.9540,13,KEM_Handshake,13,Session_Setup,0
1.4000000,1.4002149,214.8970,13,KEM_Handshake_SingleKEM,14,Session_Setup,0
1.4000000,1.4002149,214.8970,13,KEM_Handshake,14,Session_Setup,0
1.5000000,1.5002175,217.5280,13,KEM_Handshake_SingleKEM,15,Session_Setup,0
1.5000000,1.5002175,217.5280,13,KEM_Handshake,15,Session_Setup,0
1.6000000,1.6001937,193.7020,13,KEM_Handshake_SingleKEM,16,Session_Setup,0
1.6000000,1.6001937,193.7020,13,KEM_Handshake,16,Session_Setup,0
1.7000000,1.7001910,191.0160,13,KEM_Handshake_SingleKEM,17,Session_Setup,0
1.7000000,1.7001910,191.0160,13,KEM_Handshake,17,Session_Setup,0
1.8000000,1.8001915,191.4980,13,KEM_Handshake_SingleKEM,18,Session_Setup,0
1.8000000,1.8001915,191.4980,13,KEM_Handshake,18,Session_Setup,0
1.9000000,1.9002254,225.3710,13,KEM_Handshake_SingleKEM,19,Session_Setup,0
1.9000000,1.9002254,225.3710,13,KEM_Handshake,19,Session_Setup,0
2.0000000,2.0002017,201.6580,13,KEM_Handshake_SingleKEM,20,Session_Setup,0
2.0000000,2.0002017,201.6580,13,KEM_Handshake,20,Session_Setup,0
2.1000000,2.1002162,216.1630,13,KEM_Handshake_SingleKEM,21,Session_Setup,0
2.1000000,2.1002162,216.1630,13,KEM_Handshake,21,Session_Setup,0
2.2000000,2.2002364,236.4180,13,KEM_Handshake_SingleKEM,22,Session_Setup,0
2.2000000,2.2002364,236.4180,13,KEM_Handshake,22,Session_Setup,0
2.3000000,2.3002258,225.7950,13,KEM_Handshake_SingleKEM,23,Session_Setup,0
2.3000000,2.3002258,225.7950,13,KEM_Handshake,23,Session_Setup,0
2.4000000,2.4001828,182.8190,13,KEM_Handshake_SingleKEM,24,Session_Setup,0
2.4000000,2.4001828,182.8190,13,KEM_Handshake,24,Session_Setup,0
2.5000000,2.5002837,283.7150,13,KEM_Handshake_SingleKEM,25,Session_Setup,0
2.5000000,2.5002837,283.7150,13,KEM_Handshake,25,Session_Setup,0
2.6000000,2.6002897,289.6840,13,KEM_Handshake_SingleKEM,26,Session_Setup,0
2.6000000,2.6002897,289.6840,13,KEM_Handshake,26,Session_Setup,0
