time,cycle,flow_id,from_node,next_hop,planned_packets
1.2985,1,0,3,249,7
1.2985,1,0,5,77,7
1.2985,1,0,21,68,7
1.2985,1,0,36,108,8
1.2985,1,0,41,112,7
1.2985,1,0,46,21,7
1.2985,1,0,57,271,7
1.2985,1,0,70,41,7
1.2985,1,0,70,75,7
1.2985,1,0,70,251,7
1.2985,1,0,70,168,8
1.2985,1,0,75,3,7
1.2985,1,0,77,141,7
1.2985,1,0,108,258,8
1.2985,1,0,112,57,7
1.2985,1,0,129,68,7
1.2985,1,0,141,129,7
1.2985,1,0,168,261,8
1.2985,1,0,248,46,7
1.2985,1,0,249,248,7
1.2985,1,0,250,5,7
1.2985,1,0,251,250,7
1.2985,1,0,258,68,8
1.2985,1,0,261,36,8
1.2985,1,0,269,68,7
1.2985,1,0,270,269,7
1.2985,1,0,271,270,7
1.2985,1,1,16,74,7
1.2985,1,1,29,48,7
1.2985,1,1,40,61,7
1.2985,1,1,48,16,7
1.2985,1,1,61,74,7
1.2985,1,1,68,40,7
1.2985,1,1,78,109,7
1.2985,1,1,79,78,7
1.2985,1,1,79,108,7
1.2985,1,1,79,194,7
1.2985,1,1,79,141,8
1.2985,1,1,97,74,7
1.2985,1,1,108,258,7
1.2985,1,1,109,29,7
1.2985,1,1,141,162,8
1.2985,1,1,162,268,8
1.2985,1,1,163,97,7
1.2985,1,1,194,270,7
1.2985,1,1,258,68,7
1.2985,1,1,268,279,8
1.2985,1,1,269,163,7
1.2985,1,1,270,269,7
1.2985,1,1,279,74,8
2.2985,2,1,2,64,7
2.2985,2,1,5,73,7
2.2985,2,1,6,62,8
2.2985,2,1,12,38,7
2.2985,2,1,12,111,7
2.2985,2,1,12,239,7
2.2985,2,1,12,251,8
2.2985,2,1,38,252,7
2.2985,2,1,62,64,8
2.2985,2,1,73,64,7
2.2985,2,1,111,121,7
2.2985,2,1,121,152,7
2.2985,2,1,152,64,7
2.2985,2,1,239,250,7
2.2985,2,1,250,5,7
2.2985,2,1,251,6,8
2.2985,2,1,252,263,7
2.2985,2,1,263,274,7
2.2985,2,1,274,2,7
3.2985,3,1,28,123,7
3.2985,3,1,31,184,7
3.2985,3,1,64,283,7
3.2985,3,1,77,182,7
3.2985,3,1,84,31,7
3.2985,3,1,84,64,7
3.2985,3,1,84,262,8
3.2985,3,1,84,284,8
3.2985,3,1,107,287,7
3.2985,3,1,122,188,7
3.2985,3,1,123,122,7
3.2985,3,1,134,77,7
3.2985,3,1,140,198,8
3.2985,3,1,143,12,7
3.2985,3,1,182,238,7
3.2985,3,1,184,134,7
3.2985,3,1,188,12,7
3.2985,3,1,198,12,8
3.2985,3,1,238,28,7
3.2985,3,1,241,143,7
3.2985,3,1,242,241,7
3.2985,3,1,243,242,7
3.2985,3,1,251,12,8
3.2985,3,1,253,140,8
3.2985,3,1,254,243,7
3.2985,3,1,262,251,8
3.2985,3,1,264,253,8
3.2985,3,1,265,254,7
3.2985,3,1,275,264,8
3.2985,3,1,276,265,7
3.2985,3,1,283,294,7
3.2985,3,1,284,285,8
3.2985,3,1,285,286,8
3.2985,3,1,286,275,8
3.2985,3,1,287,276,7
3.2985,3,1,294,295,7
3.2985,3,1,295,296,7
3.2985,3,1,296,107,7
