attack_type,type_name,classifier,n_train,n_test,tp,tn,fp,fn,accuracy,precision,recall,f1,mcc,auroc,tdet_ms,interpretation
2,TTW-S2 — Malicious RSU,DT+Bagging,2128,912,228,684,0,0,100.0,1.0,1.0,1.0,1.0,1.0,0.0,TP=0: VeReMi KNN+Bagging cannot detect Temporal-Echo topology attacks (BSM positions are legitimate; no discriminating signal in feature space)
2,TTW-S2 — Malicious RSU,RF+Bagging,2128,912,228,684,0,0,100.0,1.0,1.0,1.0,1.0,1.0,0.0,TP=0: VeReMi KNN+Bagging cannot detect Temporal-Echo topology attacks (BSM positions are legitimate; no discriminating signal in feature space)
2,TTW-S2 — Malicious RSU,KNN+Bagging,2128,912,228,684,0,0,100.0,1.0,1.0,1.0,1.0,1.0,0.0,TP=0: VeReMi KNN+Bagging cannot detect Temporal-Echo topology attacks (BSM positions are legitimate; no discriminating signal in feature space)
2,TTW-S2 — Malicious RSU,MLP+Bagging,2128,912,228,684,0,0,100.0,1.0,1.0,1.0,1.0,1.0,0.0,TP=0: VeReMi KNN+Bagging cannot detect Temporal-Echo topology attacks (BSM positions are legitimate; no discriminating signal in feature space)
6,BSHH-S2 — Malicious RSU,DT+Bagging,347,149,37,112,0,0,100.0,1.0,1.0,1.0,1.0,1.0,0.0,TP=0: VeReMi KNN+Bagging cannot detect Temporal-Echo topology attacks (BSM positions are legitimate; no discriminating signal in feature space)
6,BSHH-S2 — Malicious RSU,RF+Bagging,347,149,37,112,0,0,100.0,1.0,1.0,1.0,1.0,1.0,0.0,TP=0: VeReMi KNN+Bagging cannot detect Temporal-Echo topology attacks (BSM positions are legitimate; no discriminating signal in feature space)
6,BSHH-S2 — Malicious RSU,KNN+Bagging,347,149,37,112,0,0,100.0,1.0,1.0,1.0,1.0,1.0,0.0,TP=0: VeReMi KNN+Bagging cannot detect Temporal-Echo topology attacks (BSM positions are legitimate; no discriminating signal in feature space)
6,BSHH-S2 — Malicious RSU,MLP+Bagging,347,149,37,112,0,0,100.0,1.0,1.0,1.0,1.0,1.0,0.0,TP=0: VeReMi KNN+Bagging cannot detect Temporal-Echo topology attacks (BSM positions are legitimate; no discriminating signal in feature space)
-1,Scenario -1,DT+Bagging,2475,1061,265,796,0,0,100.0,1.0,1.0,1.0,1.0,1.0,0.0,TP=0: VeReMi KNN+Bagging cannot detect Temporal-Echo topology attacks (BSM positions are legitimate; no discriminating signal in feature space)
-1,Scenario -1,RF+Bagging,2475,1061,265,796,0,0,100.0,1.0,1.0,1.0,1.0,1.0,0.0,TP=0: VeReMi KNN+Bagging cannot detect Temporal-Echo topology attacks (BSM positions are legitimate; no discriminating signal in feature space)
-1,Scenario -1,KNN+Bagging,2475,1061,265,796,0,0,100.0,1.0,1.0,1.0,1.0,1.0,0.0,TP=0: VeReMi KNN+Bagging cannot detect Temporal-Echo topology attacks (BSM positions are legitimate; no discriminating signal in feature space)
-1,Scenario -1,MLP+Bagging,2475,1061,265,796,0,0,100.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,TP=0: VeReMi KNN+Bagging cannot detect Temporal-Echo topology attacks (BSM positions are legitimate; no discriminating signal in feature space)
